segment,company,why_them,angle_one_line,contact_name,contact_title,location,public_profile_url,public_contact_route,email_pattern,email_confidence,priority,sources,notes
2_brands,Cricut,Public company hunting engagement/subscription growth; already licenses studio IP into Design Space; Q4 is its peak,Design in CF Studio then cut on Cricut: co-branded Q4 make-along plus asset drop,,VP Content/Partnerships (no name public),US (Utah),,investor.cricut.com press releases (press contact on each),,,1,"investor.cricut.com accessed 2026-08-28","Biggest hardware fit; audience overlap near-total."
2_brands,Silhouette America,Cricut challenger needing content differentiation,CF design credits bundled with Cameo machines for holiday,,Director Marketing/Partnerships (no name public),US,,silhouetteamerica.com press/contact,,,2,"research_brands.md sources 2026-08-28",
2_brands,Brother (ScanNCut),Global hardware brand with weak content ecosystem; strong in NL/DE,CF as official ScanNCut design library for EU holiday campaign,,Product marketing ScanNCut (no name public),EU/US,,brother.eu press room,,,2,"research_brands.md sources 2026-08-28",
2_brands,Glowforge,Proven retail partnership behaviour (Michaels deal 2021); laser maker audience,AI-generated laser files Q4 gifting campaign; Studio to Glowforge print,Dan Shapiro,CEO (public face),US (Seattle),,glowforge.com press page,,,2,"businesswire.com/news/home/20210921005368/en/ accessed 2026-08-28","CEO is publicly accessible; MEDIUM confidence on current role."
2_brands,xTool,Aggressive D2C laser brand outspending incumbents on creator marketing,Co-funded creator challenge with prize pool (mission-style),,Head of Creator Marketing (no name public),CN/US,,xtool.com affiliate/partnership pages,,,2,"research_brands.md sources 2026-08-28",
2_brands,Michaels,Runs MakerPlace and funds maker marketing (Respect the Handmade); in-store reach,CF designs mapped to Michaels materials lists; co-branded make-it-yourself hub,,VP Brand Marketing / MakerPlace GM (no name public),US,,michaelspressroom.com (press contact listed),,,1,"michaelspressroom.com/news/detail/4925/ accessed 2026-08-28",
2_brands,Hobbycraft,UK craft retail leader with heavy Christmas trade,UK holiday make-along: CF assets plus Hobbycraft materials,,Head of Marketing/Partnerships (no name public),UK,,hobbycraft.co.uk corporate/press,,,2,"research_brands.md sources 2026-08-28",
2_brands,Boesner,EU fine-art materials leader near CF home market,Artist-grade AI-sketch-to-real-painting campaign,,Press contact,DE/AT/CH,,boesner.com press contact,,,3,"research_brands.md sources 2026-08-28",
2_brands,Pipoos,Dutch craft chain: cheap fast home-market pilot with local PR story,NL-language pilot of the Q4 make-along,,Corporate contact,NL,,pipoos.nl corporate,,,2,"research_brands.md sources 2026-08-28","Good first live test before bigger brands."
2_brands,Printful + Printify (Fyul),Post-merger POD giant needing seller-acquisition stories,One-click CF designs to POD products; holiday shop-launch challenge for sellers,,Head of Partnerships/Ecosystem (no name public),EU/US,,printful.com/partners; printify.com partner pages,,,1,"beyond-print.net merger coverage accessed 2026-08-28","Also appears in segment 3 as integration surface."
2_brands,Gelato,140 production partners in 32 countries; Oslo-based (EMEA-friendly); sustainability angle,Local production global creativity EU holiday campaign,,Partnerships (no name public),Oslo,,gelato.com partners page,,,2,"gelato.com sources accessed 2026-08-28",
2_brands,Redbubble,Artist marketplace needing differentiated supply,CF Studio artists publish exclusive holiday collections,,Partnerships (no name public),AU,,redbubble.com artist/partner pages,,,3,"research_brands.md sources 2026-08-28",
2_brands,Spreadshirt (Spread Group),EU POD with gifting-heavy Q4,DE/NL personalised-gift campaign,,Partnerships (no name public),Leipzig DE,,Spread Group corporate press page,,,3,"research_brands.md sources 2026-08-28",
2_brands,Etsy,Runs celebrity/brand collabs and amplifies partners to ~20M social followers plus email network,Seller-enablement collab (holiday design trends plus tools) NOT a consumer campaign: CF sellers sell there,,Head of Brand Partnerships (no name captured),US,,etsy.com/featured/collaborations; etsy.com/news,,,1,"musebyclios.com Etsy partnerships piece accessed 2026-08-28","Careful framing: partner not competitor."
2_brands,Amazon Handmade,Amazon EMEA ran the 1000-product ST5 program; open to partner slates,CF-to-Handmade seller pipeline for Q4,,Handmade seller marketing (no name public),EU,,sell.amazon.com handmade pages,,,3,"about.netflix.com ST5 coverage accessed 2026-08-28",
2_brands,Crayola,TOP brand target: scaling Global Licensing Division and already ran a 2025 global open call for user art,Creative Acts of Color x CF: adult-crafter extension plus AI colouring-page generator with Crayola palettes,Kim Rompilla,SVP Global Licensing Crayola,US (PA),https://www.licenseglobal.com/entertainment/crayola-bolsters-its-worldwide-licensing-partnerships-and-promotions-efforts,crayola.com/company/media-center,,HIGH,1,"prnewswire.com Crayola open call Jun 2025; License Global accessed 2026-08-28","Named person publicly sourced (License Global)."
2_brands,Sharpie (Newell Brands),Personalisation-native brand,Design digitally finish by hand hybrid campaign,,Brand marketing (no name public),US,,newellbrands.com media contacts,,,3,"research_brands.md sources 2026-08-28",
2_brands,Faber-Castell,EU heritage art brand courting digital-native artists,Sketch-to-AI-to-print workflows; EU proximity,,Press contact,DE,,faber-castell.com press page,,,3,"research_brands.md sources 2026-08-28",
2_brands,Pantone,Licenses colour IP aggressively; Color of the Year lands early Dec (inside Q4 window),Color of the Year 2027 craft asset pack in Studio,,Licensing (via licensing page),US,,pantone.com licensing page,,,2,"research_brands.md sources 2026-08-28","Timing hook is built in."
2_brands,LEGO,Most co-creation-literate brand (Ideas: 1M+ users; 1% royalty model),LEGO-adjacent display-your-build craft assets; IP-strict so licensed pack essential,,LEGO Ideas / press room,DK,,lego.com/ideas; LEGO press room,,,2,"ideas.lego.com/how-it-works accessed 2026-08-28",
2_brands,Funko,New CEO built Netflix's brand-partnership machine; personalisation (Pop! Yourself) in DNA,Custom display cases dioramas party kits via CF; collector UGC halo,Josh Simon,CEO (from Sept 2025; ex-Netflix consumer products chief),US,https://variety.com/2025/tv/news/funko-new-ceo-josh-simon-netflix-1236487821/,funko.com investor/press pages,,HIGH,1,"variety.com; deadline.com Aug 2025 accessed 2026-08-28","Warm strategic target: he invented the playbook CF is pitching."
2_brands,Netflix,Proven partner-program buyer (ST5: 150+ products incl. a Google Search mechanic); ST5 window is OVER,Craft/UGC lane for the NEXT tentpole (Wednesday One Piece Bridgerton); Bridgerton has craft overlap,,VP Consumer Products (new ex-Nike hire; name behind paywall),US,,about.netflix.com press contacts,,,1,"about.netflix.com ST5 announcement; licenseglobal.com exclusive accessed 2026-08-28","Do NOT pitch Stranger Things: campaign ran Oct-Nov 2025."
2_brands,Hasbro,Family IP (Play-Doh Peppa Monopoly) with active licensing org,Licensed craft packs for family IP,,Licensing (via corporate),US,,hasbro.com corporate press page,,,3,"research_brands.md sources 2026-08-28",
2_brands,Heinz (Kraft Heinz),Proven AI-campaign buyer (A.I. Ketchup: 1.15B earned impressions),Label-design co-creation revival for EU; user-made counter to AI-slop backlash,,Brand marketing via newsroom,US/EU,,Kraft Heinz newsroom,,,2,"adsoftheworld.com A.I. Ketchup; oneclub.org Clio accessed 2026-08-28",
2_brands,Coca-Cola,Runs Create Real Magic infrastructure; needs authenticity counter-narrative after 2025 AI-ad backlash,Real-hands-made-this holiday craft UGC campaign,,Via media center,US/EU,,coca-colacompany.com media center,,,2,"forbes.com AI ad backlash Nov 2025; cio.inc Create Real Magic accessed 2026-08-28",
2_brands,Pringles (Kellanova),The CEO's own thought experiment; iconic packaging canvas,Make-your-flavour-video challenge exactly as Roemie sketched it,,Brand marketing via newsroom,US/EU,,Kellanova newsroom,,,2,"CEO's words on 27 Aug call (not public)","Use as the callback concept in interviews."
2_brands,Hallmark,Cards ARE crafts; Q4 is its Super Bowl,AI-assisted card-making co-brand,,Press contact,US,,corporate.hallmark.com press,,,2,"research_brands.md sources 2026-08-28",
2_brands,Shutterfly,Personalised photo gifting peaks in Q4,CF designs as Shutterfly templates,,Press contact,US,,shutterflyinc.com press,,,3,"research_brands.md sources 2026-08-28",
2_brands,IKEA,Hacker/maker culture around its products,IKEA-hack design packs (IP caution),,Newsroom,NL/SE,,ikea.com newsroom,,,3,"research_brands.md sources 2026-08-28",
3_distribution,Shopify App Store,Highest-leverage SMB surface: $19 listing fee; 0% rev share to first $1M; creative-AI apps already listed,CF Studio app: product URL to listing images and ad creatives for merchants,,Programmatic (Partner Dashboard),Global,,shopify.dev app store requirements,,,1,"shopify.dev/docs/apps/launch/distribution/revenue-share accessed 2026-08-28","AdCreative.ai and Creatify prove the category."
3_distribution,Printful (API),22 native integrations; the design-layer route for POD sellers,CF as design layer exporting print-ready files into Printful,,Programmatic (developers.printful.com),EU/US,,developers.printful.com; printful.com/affiliates,,,1,"research_contacts.md 2026-08-28","Pair with segment 2 co-marketing row."
3_distribution,Printify (API),Second half of the Fyul group; same integration surface,Same design-layer play; one deal may cover both post-merger,,Programmatic (developers.printify.com),EU/US,,developers.printify.com; printify.com/affiliate,,,1,"research_contacts.md 2026-08-28",
3_distribution,Gelato (API),POD API with Shopify/Etsy/WooCommerce/Wix integrations; Oslo HQ,CF design export into Gelato production network,,Via partners page,Oslo,,gelato.com API/partners,,,2,"research_contacts.md 2026-08-28",
3_distribution,Etsy Open API + Awin affiliate,No app store but API v3 powers seller tools (eRank Alura POD apps); affiliate program on Awin open to sellers; Creator Collective for content creators,Seller-tool integration plus recruit craft bloggers/YouTubers as CF affiliates via Awin,,Programmatic (developer registration; Awin),US/EU,,help.etsy.com affiliate article; developers.etsy.com,,,1,"help.etsy.com/hc/en-us/articles/360000335987; awin.com Etsy pages accessed 2026-08-28",
3_distribution,Amazon Selling Partner Appstore,3000+ vetted seller apps incl. creative tools; reaches Handmade and FBA sellers,CF listing-image and A+ content tool for Amazon sellers,,Programmatic (SP-API developer registration),Global,,sell.amazon.com/tools/selling-partner-appstore,,,2,"sell.amazon.com accessed 2026-08-28",
3_distribution,Meta Business Partners,Creative-specialty badge and directory for creative tools; beta access,Badge plus directory listing once export-to-ads exists in Studio,,Programmatic (Business Manager application),Global,,facebook.com/business/marketing-partners,,,2,"program corroborated via secondary guides 2026-08-28","Thresholds MEDIUM: verify current criteria."
3_distribution,TikTok Marketing Partners,Creative badge category; Symphony has named partner integrations for creative tooling,Creative-badge listing; longer term a Symphony integration,,Programmatic (application plus vetting),Global,,ads.tiktok.com partner program pages,,,2,"newsroom.tiktok.com partner program accessed 2026-08-28",
3_distribution,Canva Apps Marketplace,200M+ MAU distribution; Premium Apps pays from Canva sub pool; $50M innovation fund,CF marketplace-asset app inside Canva (competitor but proven distribution; strategic call needed),,Programmatic (Apps SDK submission),Global,,canva.dev,,,3,"canva.dev/docs/apps/monetization accessed 2026-08-28","Frenemy: decide policy before building."
3_distribution,WooCommerce,Open e-commerce ecosystem alongside Shopify,Plugin listing for product-image and ad-creative generation,,Programmatic (marketplace submission),Global,,woocommerce.com marketplace,,,3,"general knowledge; verify current terms","Not verified this session: LOW."
3_distribution,Awin network,Centre of gravity for craft-niche affiliates (hosts Etsy program; ShareASale folded in),Run CF's affiliate program recruitment for craft bloggers/YouTubers,,Programmatic (advertiser onboarding),EU/Global,,awin.com,,,2,"awin.com Etsy pages accessed 2026-08-28","CF already has an affiliate program (25%/20%); extend recruitment."
3_distribution,Impact.com,Hosts CapCut's affiliate program and many creative tools,Second network for CF affiliate expansion,,Programmatic (advertiser onboarding),Global,,impact.com,,,3,"capcut.com/partners/affiliate-program accessed 2026-08-28",
3_distribution,Fourthwall,Creator-commerce platform; creators need merch designs,CF asset packs for creator holiday merch drops; developer/API route,,Partnerships form on site,US,,fourthwall.com,,,3,"research_contacts.md 2026-08-28","LOW confidence on API details; verify."
3_distribution,Wix,Site builder with e-commerce SMBs and app market,App-market listing for design/ad assets,,Programmatic (Wix App Market),Global,,wix.com app market,,,3,"general knowledge; verify current terms","Not verified this session: LOW."
3_distribution,SMB agency networks (via DMEXCO/local),Small agencies buy creative volume for many SMB clients,Agency partner tier of CF's affiliate program with volume pricing on Studio,,Direct outreach at events (DMEXCO EDAY),EU,,Event-based; no single program,,,2,"04_events_calendar.md","Route is events plus affiliate tier not a formal program."
3_distribution,Google (PMax asset ecosystem),PMax demands up to 40+ assets per asset group: structural creative-volume demand,Content play plus future feed/asset integrations; Google Partners badge itself is low relevance,,Programmatic,Global,,support.google.com/google-ads/answer/14528220,,,3,"PMax best-practice docs via snippets 2026-08-28","Badge is agency-spend oriented; skip for now."
